# ell,Dl_TT,Dl_EE,Dl_TE
2.260000000000000000e+02,5.638176917516673711e+03,1.060458972213508044e+00,2.393331672778291974e+01
2.270000000000000000e+02,5.633735368217311589e+03,1.094817517772832760e+00,2.558327805240752539e+01
2.280000000000000000e+02,5.628676484996972249e+03,1.130947168781004208e+00,2.723936284503834671e+01
2.290000000000000000e+02,5.623007918572114249e+03,1.168884151902381596e+00,2.890089414114714828e+01
2.300000000000000000e+02,5.616722469475205799e+03,1.208657260483945839e+00,3.056719516136235626e+01
2.310000000000000000e+02,5.609827790531427127e+03,1.250280429188593612e+00,3.223751505694363573e+01
2.320000000000000000e+02,5.602331535569980588e+03,1.293789862389255862e+00,3.391117742383676870e+01
2.330000000000000000e+02,5.594226508119827486e+03,1.339214331948801906e+00,3.558743179155543146e+01
2.340000000000000000e+02,5.585512938214818860e+03,1.386575177511165657e+00,3.726552788063702337e+01
2.350000000000000000e+02,5.576205907933320304e+03,1.435901158052438342e+00,3.894486411617029376e+01
2.360000000000000000e+02,5.566290797547568218e+03,1.487221026568497972e+00,4.062461634739291583e+01
2.370000000000000000e+02,5.555790116033137565e+03,1.540541253521988230e+00,4.230403487335783552e+01
2.380000000000000000e+02,5.544696670313997856e+03,1.595890580925560132e+00,4.398244444341801795e+01
2.390000000000000000e+02,5.533018118868844795e+03,1.653282894560777372e+00,4.565909574502912704e+01
2.400000000000000000e+02,5.520754694699415268e+03,1.712754352452626305e+00,4.733309114762096215e+01
2.410000000000000000e+02,5.507906630786703317e+03,1.774318831487959658e+00,4.900390449628859102e+01
2.420000000000000000e+02,5.494489011161038434e+03,1.837990204659743831e+00,5.067063854905447329e+01
2.430000000000000000e+02,5.480502068212142149e+03,1.903789767075293016e+00,5.233254477020400941e+01
2.440000000000000000e+02,5.465946033740333405e+03,1.971731385098057343e+00,5.398902332969650786e+01
2.450000000000000000e+02,5.450835990000155107e+03,2.041836347998494450e+00,5.563925182115485057e+01
2.460000000000000000e+02,5.435179592612777014e+03,2.114103665864392134e+00,5.728255654218691006e+01
2.470000000000000000e+02,5.418969644723567399e+03,2.188562049394257691e+00,5.891818972454248637e+01
2.480000000000000000e+02,5.402228650531285894e+03,2.265225356575132576e+00,6.054532953285963970e+01
2.490000000000000000e+02,5.384949410065417396e+03,2.344092593118108248e+00,6.216337708825476227e+01
2.500000000000000000e+02,5.367146998338126650e+03,2.425192466652454915e+00,6.377151092926082043e+01
2.510000000000000000e+02,5.348814220497590213e+03,2.508508898051151625e+00,6.536883916913525638e+01
2.520000000000000000e+02,5.329958767109394103e+03,2.594062005136683613e+00,6.695470745855929806e+01
2.530000000000000000e+02,5.310580909691027045e+03,2.681849396776678773e+00,6.852831676284891671e+01
2.540000000000000000e+02,5.290695768252440757e+03,2.771883534359281143e+00,7.008879396956673702e+01
2.550000000000000000e+02,5.270288757343965699e+03,2.864154604149069971e+00,7.163548891127393858e+01
2.560000000000000000e+02,5.249374990862778759e+03,2.958675071524615507e+00,7.316760308190916362e+01
2.570000000000000000e+02,5.227962153744245370e+03,3.055442553347071488e+00,7.468456091555042065e+01
2.580000000000000000e+02,5.206065353039406546e+03,3.154447244085075486e+00,7.618534147756400898e+01
2.590000000000000000e+02,5.183692266504784129e+03,3.255701618820281418e+00,7.767040912439540534e+01
2.600000000000000000e+02,5.160865419330558325e+03,3.359195880007582069e+00,7.913755515075656888e+01
2.610000000000000000e+02,5.137585055883116183e+03,3.464927660491607941e+00,8.058754126171373855e+01
2.620000000000000000e+02,5.113873693337789518e+03,3.572894598401512134e+00,8.201890163217996133e+01
2.630000000000000000e+02,5.089738993452558134e+03,3.683094337676284802e+00,8.343165571631551813e+01
