# ell,Dl_TT (LCDM PR4 best-fit)
6.600000000000000000e+01,1.771798379357573594e+03
6.700000000000000000e+01,1.795475690290164266e+03
6.800000000000000000e+01,1.819367275721524948e+03
6.900000000000000000e+01,1.843428153602966859e+03
7.000000000000000000e+01,1.867628196837942141e+03
7.100000000000000000e+01,1.891945175371437244e+03
7.200000000000000000e+01,1.916492449426183157e+03
7.300000000000000000e+01,1.941383848004917809e+03
7.400000000000000000e+01,1.966629201635157415e+03
7.500000000000000000e+01,1.992230910997000592e+03
7.600000000000000000e+01,2.018144922405219631e+03
7.700000000000000000e+01,2.044245365947426762e+03
7.800000000000000000e+01,2.070515912901966203e+03
7.900000000000000000e+01,2.096999660251845398e+03
8.000000000000000000e+01,2.123717418952890512e+03
8.100000000000000000e+01,2.150692639532237081e+03
8.200000000000000000e+01,2.177937048431502262e+03
8.300000000000000000e+01,2.205427870181432354e+03
8.400000000000000000e+01,2.233164613922900571e+03
8.500000000000000000e+01,2.261139360147083607e+03
8.600000000000000000e+01,2.289348440354508057e+03
8.700000000000000000e+01,2.317760620595902310e+03
8.800000000000000000e+01,2.346356346561583450e+03
8.900000000000000000e+01,2.375145777601046575e+03
9.000000000000000000e+01,2.404131645103490882e+03
9.100000000000000000e+01,2.433323687088335646e+03
9.200000000000000000e+01,2.462722524915473059e+03
9.300000000000000000e+01,2.492343215158422936e+03
9.400000000000000000e+01,2.522178530194392351e+03
9.500000000000000000e+01,2.552243528401657841e+03
9.600000000000000000e+01,2.582530984144325430e+03
9.700000000000000000e+01,2.613041101249335043e+03
9.800000000000000000e+01,2.643781513071714926e+03
9.900000000000000000e+01,2.674730140797433705e+03
1.000000000000000000e+02,2.705902048638309680e+03
1.010000000000000000e+02,2.737290017061047820e+03
1.020000000000000000e+02,2.768894256207601757e+03
1.030000000000000000e+02,2.800700120852152395e+03
1.040000000000000000e+02,2.832707823798379650e+03
1.050000000000000000e+02,2.864910150813800101e+03
1.060000000000000000e+02,2.897299888954315065e+03
1.070000000000000000e+02,2.929869826528211433e+03
1.080000000000000000e+02,2.962605324700211895e+03
1.090000000000000000e+02,2.995514030837770406e+03
1.100000000000000000e+02,3.028581308346638707e+03
1.110000000000000000e+02,3.061799793399525242e+03
1.120000000000000000e+02,3.095168925053236762e+03
1.130000000000000000e+02,3.128680558272154485e+03
1.140000000000000000e+02,3.162326548793992515e+03
1.150000000000000000e+02,3.196098753039989333e+03
1.160000000000000000e+02,3.229996456373207820e+03
1.170000000000000000e+02,3.264011516305098667e+03
1.180000000000000000e+02,3.298128362402752373e+03
1.190000000000000000e+02,3.332346281248249397e+03
1.200000000000000000e+02,3.366657131299039065e+03
1.210000000000000000e+02,3.401052771152963032e+03
1.220000000000000000e+02,3.435517631117564179e+03
1.230000000000000000e+02,3.470050998186212837e+03
1.240000000000000000e+02,3.504644730919594167e+03
1.250000000000000000e+02,3.539283259385746078e+03
1.260000000000000000e+02,3.573965870159519000e+03
1.270000000000000000e+02,3.608676992879790305e+03
1.280000000000000000e+02,3.643408485268596905e+03
1.290000000000000000e+02,3.678159633110356481e+03
1.300000000000000000e+02,3.712914865191652552e+03
1.310000000000000000e+02,3.747658837419485280e+03
1.320000000000000000e+02,3.782399400132760093e+03
1.330000000000000000e+02,3.817114917430663354e+03
1.340000000000000000e+02,3.851806038247764718e+03
1.350000000000000000e+02,3.886458554653854208e+03
1.360000000000000000e+02,3.921073115318090004e+03
1.370000000000000000e+02,3.955635512182941056e+03
1.380000000000000000e+02,3.990138965601282507e+03
1.390000000000000000e+02,4.024569267733110337e+03
1.400000000000000000e+02,4.058934496054043848e+03
1.410000000000000000e+02,4.093213015020598959e+03
1.420000000000000000e+02,4.127398046297467772e+03
1.430000000000000000e+02,4.161490240540850209e+03
1.440000000000000000e+02,4.195467964137890704e+03
1.450000000000000000e+02,4.229331869454380467e+03
1.460000000000000000e+02,4.263052896533867170e+03
1.470000000000000000e+02,4.296624271703737577e+03
1.480000000000000000e+02,4.330031794330802768e+03
1.490000000000000000e+02,4.363261265329127127e+03
1.500000000000000000e+02,4.396298487317341824e+03
1.510000000000000000e+02,4.429121643627636331e+03
1.520000000000000000e+02,4.461737861820473881e+03
1.530000000000000000e+02,4.494131793771027333e+03
1.540000000000000000e+02,4.526302950360305658e+03
1.550000000000000000e+02,4.558243416561198501e+03
1.560000000000000000e+02,4.589960136618271463e+03
1.570000000000000000e+02,4.621430344066443467e+03
1.580000000000000000e+02,4.652660988643263408e+03
1.590000000000000000e+02,4.683636737936538339e+03
1.600000000000000000e+02,4.714349690872975771e+03
1.610000000000000000e+02,4.744777092742501736e+03
1.620000000000000000e+02,4.774911048661122550e+03
1.630000000000000000e+02,4.804743666918428062e+03
1.640000000000000000e+02,4.834252202310844950e+03
1.650000000000000000e+02,4.863436197911965792e+03
1.660000000000000000e+02,4.892280343325538524e+03
1.670000000000000000e+02,4.920776759725441480e+03
1.680000000000000000e+02,4.948917571479718390e+03
1.690000000000000000e+02,4.976694906110020383e+03
1.700000000000000000e+02,5.004100894236492422e+03
1.710000000000000000e+02,5.031120241158227145e+03
1.720000000000000000e+02,5.057759940171275957e+03
1.730000000000000000e+02,5.083997274020872283e+03
1.740000000000000000e+02,5.109824384894541254e+03
1.750000000000000000e+02,5.135240845951958363e+03
1.760000000000000000e+02,5.160231510576800247e+03
1.770000000000000000e+02,5.184789200586687912e+03
1.780000000000000000e+02,5.208899446084867122e+03
1.790000000000000000e+02,5.232562635921988658e+03
1.800000000000000000e+02,5.255771732483348387e+03
1.810000000000000000e+02,5.278512271522016817e+03
1.820000000000000000e+02,5.300784647039176889e+03
1.830000000000000000e+02,5.322581826060724779e+03
1.840000000000000000e+02,5.343889348463752867e+03
